year,LCLUC_2011,LCLUC_NOTIMBER,LCLUC_CONST,LC2011,LC1700,LC1700_CLIMATE,LC1700_CO2,LC1700_O3,LC1700_NDEP,LC1700_REF,Climate,CO2,O3,Ndep,LCLUC,Conversion Effect,Timber Effect,Growth Enhancements,LULCC_2011,LULCC_NOTIMBER,LULCC_CONST,LC2011,LC1700,delvegc,delvegc_cum,nce_LCLUC_2011_cum
1701,65089.977,65089.686,67470.019,42997.275,65093.903,65091.924,67469.378,67470.4,67471.173,67468.943,-2.377019,0.000435,0.001457,0.00223,0.001076,-0.004217,0.000291,-2.380042,65.089977,65.089686,67.470019,42.997275,65.093903,0,0,-61.966
1702,65175.353,65175.355,67475.188,42976.94,65176.189,65173.942,67472.792,67472.695,67475.094,67471.925,-2.297983,0.000867,0.00077,0.003169,0.003263,-0.000834,-2E-06,-2.299835,65.175353,65.175355,67.475188,42.97694,65.176189,85.376,85.376,11.861
1703,65452.838,65453.105,67473.999,43185.568,65450.702,65449.103,67477.51,67476.369,67480.302,67476.828,-2.027725,0.000682,-0.000459,0.003474,-0.002829,0.002403,-0.000267,-2.021161,65.452838,65.453105,67.473999,43.185568,65.450702,277.485,362.861,120.459
1704,65470.002,65470.522,67446.711,43234.418,65474.732,65473.342,67460.852,67460.022,67464.2,67460.876,-1.987534,-2.4E-05,-0.000854,0.003324,-0.014165,-0.00421,-0.00052,-1.976709,65.470002,65.470522,67.446711,43.234418,65.474732,17.164,380.025,112.918
1705,65705.024,65705.485,67451.318,43412.117,65718.721,65717.314,67475.69,67474.182,67478.526,67475.785,-1.758471,-9.5E-05,-0.001603,0.002741,-0.024467,-0.013236,-0.000461,-1.746294,65.705024,65.705485,67.451318,43.412117,65.718721,235.022,615.047,392.284
1706,65642.608,65643.156,67450.552,43144.147,65669.113,65667.672,67485.225,67482.281,67486.585,67485.353,-1.817681,-0.000128,-0.003072,0.001232,-0.034801,-0.025957,-0.000548,-1.807944,65.642608,65.643156,67.450552,43.144147,65.669113,-62.416,552.631,364.613
1707,65488.996,65489.619,67425.548,42922.459,65529.915,65528.514,67467.777,67465.5,67469.511,67468.874,-1.94036,-0.001097,-0.003374,0.000637,-0.043326,-0.040296,-0.000623,-1.936552,65.488996,65.489619,67.425548,42.922459,65.529915,-153.612,399.019,-54.328
1708,65340.577,65341.27,67430.273,42808.522,65394.763,65393.469,67482.433,67479.892,67482.941,67483.503,-2.090034,-0.00107,-0.003611,-0.000562,-0.05323,-0.053493,-0.000693,-2.089696,65.340577,65.34127,67.430273,42.808522,65.394763,-148.419,250.6,-99.076
1709,65515.416,65516.138,67430.138,42967.438,65577.029,65575.912,67492.904,67489.345,67491.831,67493.537,-1.917625,-0.000633,-0.004192,-0.001706,-0.063399,-0.060891,-0.000722,-1.914722,65.515416,65.516138,67.430138,42.967438,65.577029,174.839,425.439,139.404
1710,65742.169,65742.903,67401.514,43196.262,65811.2,65810.043,67474.711,67471.95,67474.733,67475.37,-1.665327,-0.000659,-0.00342,-0.000637,-0.073856,-0.068297,-0.000734,-1.659345,65.742169,65.742903,67.401514,43.196262,65.8112,226.753,652.192,-98.898
1711,65353.726,65354.462,67403.962,42848.686,65433.515,65432.325,67490.98,67488.747,67491.128,67491.736,-2.059411,-0.000756,-0.002989,-0.000608,-0.087774,-0.079053,-0.000736,-2.050236,65.353726,65.354462,67.403962,42.848686,65.433515,-388.443,263.749,-840.678
1712,65394.557,65395.123,67402.751,42727.875,65486.554,65485.307,67502.701,67499.701,67502.371,67503.108,-2.017801,-0.000407,-0.003407,-0.000737,-0.100357,-0.091431,-0.000566,-2.008194,65.394557,65.395123,67.402751,42.727875,65.486554,40.831,304.58,-474.783
1713,65284.296,65284.546,67375.696,42574.465,65389.975,65388.709,67483.397,67482.054,67484.941,67484.093,-2.095384,-0.000696,-0.002039,0.000848,-0.108397,-0.105429,-0.00025,-2.0914,65.284296,65.284546,67.375696,42.574465,65.389975,-110.261,194.319,-1342.371
1714,65140.523,65140.703,67378.209,42510.645,65258.413,65257.192,67496.685,67496.487,67498.787,67497.656,-2.240464,-0.000971,-0.001169,0.001131,-0.119447,-0.11771,-0.00018,-2.237686,65.140523,65.140703,67.378209,42.510645,65.258413,-143.773,50.546,-1135.954
1715,65490.717,65490.769,67375.688,42894.395,65618.034,65616.935,67503.999,67503.558,67505.812,67505.043,-1.888108,-0.001044,-0.001485,0.000769,-0.129355,-0.127265,-5.2E-05,-1.884971,65.490717,65.490769,67.375688,42.894395,65.618034,350.194,400.74,-691.143
1716,65904.44,65904.364,67346.812,43179.987,66039.562,66038.438,67477.458,67478.061,67479.668,67477.801,-1.439363,-0.000343,0.00026,0.001867,-0.130989,-0.135198,7.6E-05,-1.442372,65.90444,65.904364,67.346812,43.179987,66.039562,413.723,814.463,-418.877
1717,65749.267,65749.108,67355.433,43062.335,65891.961,65890.79,67488.222,67489.837,67490.395,67488.465,-1.597675,-0.000243,0.001372,0.00193,-0.133032,-0.142853,0.000159,-1.606166,65.749267,65.749108,67.355433,43.062335,65.891961,-155.173,659.29,-555.621
1718,65797.696,65797.527,67354.189,43052.217,65927.593,65926.096,67495.026,67496.339,67495.638,67495.279,-1.569183,-0.000253,0.00106,0.000359,-0.14109,-0.130066,0.000169,-1.556493,65.797696,65.797527,67.354189,43.052217,65.927593,48.429,707.719,-487.048
1719,65823.749,65823.408,67323.344,43138.761,65942.591,65941.409,67466.644,67468.177,67466.13,67466.438,-1.525029,0.000206,0.001739,-0.000308,-0.143094,-0.119183,0.000341,-1.499595,65.823749,65.823408,67.323344,43.138761,65.942591,26.053,733.772,-279.475
1720,65947.061,65946.693,67326.776,43273.042,66054.987,66053.997,67472.166,67473.568,67470.438,67471.086,-1.417089,0.00108,0.002482,-0.000648,-0.14431,-0.108294,0.000368,-1.379715,65.947061,65.946693,67.326776,43.273042,66.054987,123.312,857.084,-327.972
1721,65869.769,65869.45,67327.048,43203.042,65970.186,65969.436,67476.186,67476.672,67472.416,67475.491,-1.506055,0.000695,0.001181,-0.003075,-0.148443,-0.100736,0.000319,-1.457279,65.869769,65.86945,67.327048,43.203042,65.970186,-77.292,779.792,-416.71
1722,65872.947,65872.541,67298.214,43251.104,65967.49,65966.66,67447.726,67447.592,67443.301,67446.628,-1.479968,0.001098,0.000964,-0.003327,-0.148414,-0.094949,0.000406,-1.425267,65.872947,65.872541,67.298214,43.251104,65.96749,3.178,782.97,-474.044
1723,65983.107,65982.685,67301.5,43278.577,66082.485,66081.596,67450.482,67449.679,67446.35,67448.879,-1.367283,0.001603,0.0008,-0.002529,-0.147379,-0.0998,0.000422,-1.318393,65.983107,65.982685,67.3015,43.278577,66.082485,110.16,893.13,-445.697
1724,66101.432,66101.087,67300.239,43188.537,66219.545,66218.93,67453.157,67451.347,67448.644,67451.943,-1.233013,0.001214,-0.000596,-0.003299,-0.151704,-0.118458,0.000345,-1.198807,66.101432,66.101087,67.300239,43.188537,66.219545,118.325,1011.455,-349.501
1725,66197.002,66196.798,67270.782,43412.706,66319.001,66318.113,67425.31,67423.722,67421.813,67424.612,-1.106499,0.000698,-0.00089,-0.002799,-0.15383,-0.122203,0.000204,-1.07378,66.197002,66.196798,67.270782,43.412706,66.319001,95.57,1107.025,-94.027
1726,66028.771,66028.626,67272.442,43320.216,66158.826,66157.702,67429.15,67426.938,67426.168,67427.773,-1.270071,0.001377,-0.000835,-0.001605,-0.155331,-0.1302,0.000145,-1.243671,66.028771,66.028626,67.272442,43.320216,66.158826,-168.231,938.794,-524.091
1727,65574.521,65574.425,67273.124,42818.156,65718.176,65717.412,67431.832,67429.198,67430.061,67430.851,-1.713439,0.000981,-0.001653,-0.00079,-0.157727,-0.143751,9.6E-05,-1.698603,65.574521,65.574425,67.273124,42.818156,65.718176,-454.25,484.544,-998.29
1728,65565.764,65565.792,67242.199,42785.764,65727.306,65726.588,67401.949,67400.441,67401.497,67401.878,-1.67529,7.1E-05,-0.001437,-0.000381,-0.159679,-0.161514,-2.8E-05,-1.676435,65.565764,65.565792,67.242199,42.785764,65.727306,-8.757,475.787,-706.362
1729,65807.828,65807.713,67244.886,43024.213,65967.087,65966.241,67404.12,67402.671,67404.052,67404.531,-1.43829,-0.000411,-0.00186,-0.000479,-0.159645,-0.159374,0.000115,-1.437058,65.807828,65.807713,67.244886,43.024213,65.967087,242.064,717.851,-481.078
1730,65980.721,65980.622,67243.348,43187.591,66119.474,66118.413,67406.216,67404.638,67406.804,67406.822,-1.288409,-0.000606,-0.002184,-1.8E-05,-0.163474,-0.138852,9.9E-05,-1.262627,65.980721,65.980622,67.243348,43.187591,66.119474,172.893,890.744,-301.36
1731,66192.56,66192.364,67213.588,43363.143,66280.258,66279.351,67378.155,67377.468,67379.462,67379.321,-1.09997,-0.001166,-0.001853,0.000141,-0.165733,-0.087894,0.000196,-1.021028,66.19256,66.192364,67.213588,43.363143,66.280258,211.839,1102.583,-50.295
1732,66281.346,66281.022,67214.915,43363.043,66399.717,66398.981,67381.963,67381.122,67382.907,67382.916,-0.983935,-0.000953,-0.001794,-9E-06,-0.168001,-0.118695,0.000324,-0.933569,66.281346,66.281022,67.214915,43.363043,66.399717,88.786,1191.369,70.87
1733,66368.007,66367.698,67212.25,43323.648,66494.814,66493.963,67384.354,67382.898,67384.932,67384.855,-0.890892,-0.000501,-0.001957,7.7E-05,-0.172605,-0.127116,0.000309,-0.844243,66.368007,66.367698,67.21225,43.323648,66.494814,86.661,1278.03,291.11
1734,66644.371,66644.031,67182.42,43571.676,66785.448,66784.42,67360.25,67360.409,67361.105,67361.011,-0.576591,-0.000761,-0.000602,9.4E-05,-0.178591,-0.141417,0.00034,-0.538049,66.644371,66.644031,67.18242,43.571676,66.785448,276.364,1554.394,720.971
1735,66618.635,66618.283,67184.116,43688.836,66793.745,66792.772,67366.266,67367.052,67366.941,67367.424,-0.574652,-0.001158,-0.000372,-0.000483,-0.183308,-0.175462,0.000352,-0.565481,66.618635,66.618283,67.184116,43.688836,66.793745,-25.736,1528.658,809.411
1736,66736.513,66736.146,67180.969,43849.772,66894.113,66893.299,67367.632,67368.125,67367.91,67368.302,-0.475003,-0.00067,-0.000177,-0.000392,-0.187333,-0.157967,0.000367,-0.444456,66.736513,66.736146,67.180969,43.849772,66.894113,117.878,1646.536,964.21
1737,66659.623,66659.235,67154.795,43741.295,66836.985,66836.21,67341.008,67342.159,67342.929,67341.818,-0.505608,-0.00081,0.000341,0.001111,-0.187023,-0.17775,0.000388,-0.495172,66.659623,66.659235,67.154795,43.741295,66.836985,-76.89,1569.646,868.503
1738,66561.095,66560.719,67157.878,43600.833,66743.94,66742.966,67344.54,67346.038,67346.828,67345.51,-0.602544,-0.00097,0.000528,0.001318,-0.187632,-0.183221,0.000376,-0.596783,66.561095,66.560719,67.157878,43.600833,66.74394,-98.528,1471.118,853.017
1739,66569.938,66569.556,67156.115,43474.6,66747.946,66746.517,67345.018,67345.416,67346.534,67345.906,-0.599389,-0.000888,-0.00049,0.000628,-0.189791,-0.17839,0.000382,-0.586177,66.569938,66.569556,67.156115,43.4746,66.747946,8.843,1479.961,848.683
1740,66463.211,66462.789,67124.201,43410.024,66677.137,66676.225,67316.791,67317.819,67319.819,67317.712,-0.641487,-0.000921,0.000107,0.002107,-0.193511,-0.214348,0.000422,-0.66099,66.463211,66.462789,67.124201,43.410024,66.677137,-106.727,1373.234,750.906
1741,66336.798,66336.366,67123.249,43402.555,66556.056,66555.143,67321.945,67322.697,67323.76,67322.828,-0.767685,-0.000883,-0.000131,0.000932,-0.199579,-0.21969,0.000432,-0.786451,66.336798,66.336366,67.123249,43.402555,66.556056,-126.413,1246.821,687.937
1742,66409.612,66409.181,67118.509,43527.026,66626.793,66625.89,67322.851,67322.692,67323.141,67323.878,-0.697988,-0.001027,-0.001186,-0.000737,-0.205369,-0.217612,0.000431,-0.708897,66.409612,66.409181,67.118509,43.527026,66.626793,72.814,1319.635,793.499
1743,66080.255,66079.857,67086.198,43105.411,66308.55,66307.675,67293.294,67293.195,67293.759,67294.052,-0.986377,-0.000758,-0.000857,-0.000293,-0.207854,-0.228693,0.000398,-1.005943,66.080255,66.079857,67.086198,43.105411,66.30855,-329.357,990.278,-104.289
1744,65679.553,65679.223,67084.213,42576.051,65932.266,65931.448,67298.752,67298.362,67298.369,67299.024,-1.367576,-0.000272,-0.000662,-0.000655,-0.214811,-0.253043,0.00033,-1.40466,65.679553,65.679223,67.084213,42.576051,65.932266,-400.702,589.576,-369.763
1745,65713.3,65713.049,67080.16,42581.282,65969.688,65968.779,67298.723,67297.334,67296.447,67299.083,-1.330304,-0.00036,-0.001749,-0.002636,-0.218923,-0.256639,0.000251,-1.36686,65.7133,65.713049,67.08016,42.581282,65.969688,33.747,623.323,-487.768
1746,66102.688,66102.513,67047.324,42976.652,66355.925,66354.985,67265.845,67265.152,67263.868,67265.996,-0.911011,-0.000151,-0.000844,-0.002128,-0.218672,-0.253412,0.000175,-0.944636,66.102688,66.102513,67.047324,42.976652,66.355925,389.388,1012.711,-185.97
1747,66107.91,66107.764,67049.06,43052.628,66363.63,66362.877,67269.637,67268.346,67266.997,67268.932,-0.906055,0.000705,-0.000586,-0.001935,-0.219872,-0.255866,0.000146,-0.94115,66.10791,66.107764,67.04906,43.052628,66.36363,5.222,1017.933,-589.353
1748,65981.468,65981.346,67043.41,42930.31,66239.977,66239.107,67269.189,67267.318,67265.041,67267.92,-1.028813,0.001269,-0.000602,-0.002879,-0.22451,-0.258631,0.000122,-1.061942,65.981468,65.981346,67.04341,42.93031,66.239977,-126.442,891.491,-767.104
1749,66078.7,66078.577,67010.855,43026.531,66331.987,66330.958,67234.538,67232.612,67230.157,67233.396,-0.902438,0.001142,-0.000784,-0.003239,-0.222541,-0.25341,0.000123,-0.932155,66.0787,66.078577,67.010855,43.026531,66.331987,97.232,988.723,-533.094
1750,66184.238,66184.103,67006.974,43134.597,66429.964,66429.139,67233.21,67230.677,67229.549,67230.972,-0.801833,0.002238,-0.000295,-0.001423,-0.223998,-0.245861,0.000135,-0.822736,66.184238,66.184103,67.006974,43.134597,66.429964,105.538,1094.261,-726.12
1751,66333.447,66333.299,66996.918,43263.282,66575.594,66574.667,67231.386,67227.482,67226.952,67228.471,-0.653804,0.002915,-0.000989,-0.001519,-0.231553,-0.242295,0.000148,-0.663471,66.333447,66.333299,66.996918,43.263282,66.575594,149.209,1243.47,-401.604
1752,66539.088,66539.037,66962.095,43485.33,66776.431,66775.33,67198.688,67196.345,67196.103,67196.593,-0.421263,0.002095,-0.000248,-0.00049,-0.234498,-0.237394,5.1E-05,-0.423007,66.539088,66.539037,66.962095,43.48533,66.776431,205.641,1449.111,-215.454
1753,66518.4,66518.417,66961.185,43368.425,66792.63,66791.609,67195.065,67193.334,67194.524,67193.506,-0.401897,0.001559,-0.000172,0.001018,-0.232321,-0.274213,-1.7E-05,-0.442785,66.5184,66.518417,66.961185,43.368425,66.79263,-20.688,1428.423,-373.45
1754,66608.409,66608.36,66951.957,43391.127,66900.228,66899.322,67191.775,67190.726,67192.384,67190.651,-0.291329,0.001124,7.5E-05,0.001733,-0.238694,-0.291868,4.9E-05,-0.343548,66.608409,66.60836,66.951957,43.391127,66.900228,90.009,1518.432,93.656
1755,66836.669,66836.611,66918.852,43690.003,67143.771,67142.972,67161.273,67161.942,67162.66,67161.244,-0.018272,2.9E-05,0.000698,0.001416,-0.242392,-0.30716,5.8E-05,-0.082183,66.836669,66.836611,66.918852,43.690003,67.143771,228.26,1746.692,398.366
1756,66997.63,66997.57,66917.502,43854.094,67309.818,67309.273,67162.072,67163.841,67164.697,67162.919,0.146354,-0.000847,0.000922,0.001778,-0.245417,-0.312248,6E-05,0.080128,66.99763,66.99757,66.917502,43.854094,67.309818,160.961,1907.653,729.499
1757,66954.323,66954.215,66913.673,43774.189,67302.182,67302.047,67160.339,67161.578,67163.63,67161.542,0.140505,-0.001203,3.6E-05,0.002088,-0.247869,-0.347967,0.000108,0.04065,66.954323,66.954215,66.913673,43.774189,67.302182,-43.307,1864.346,491.87
1758,66759.092,66758.924,66879.069,43547.569,67108.523,67108.331,67129.123,67131.769,67133.251,67130.383,-0.022052,-0.00126,0.001386,0.002868,-0.251314,-0.349599,0.000168,-0.119977,66.759092,66.758924,66.879069,43.547569,67.108523,-195.231,1669.115,431.95
1759,66845.731,66845.602,66876.754,43663.391,67192.28,67191.821,67131.871,67134.172,67134.96,67133.092,0.058729,-0.001221,0.00108,0.001868,-0.256338,-0.346678,0.000129,-0.031023,66.845731,66.845602,66.876754,43.663391,67.19228,86.639,1755.754,765.886
1760,66760.45,66760.345,66869.15,43553.47,67112.899,67112.904,67131.86,67133.807,67135.565,67132.936,-0.020032,-0.001076,0.000871,0.002629,-0.263786,-0.352554,0.000105,-0.1087,66.76045,66.760345,66.86915,43.55347,67.112899,-85.281,1670.473,359.556
1761,66506.489,66506.296,66834.694,43283.805,66869.955,66870.119,67100.501,67102.431,67103.506,67101.175,-0.231056,-0.000674,0.001256,0.002331,-0.266481,-0.363659,0.000193,-0.328205,66.506489,66.506296,66.834694,43.283805,66.869955,-253.961,1416.512,341.923
1762,66476.21,66476.034,66830.763,43294.849,66813.479,66813.222,67103.664,67105.611,67105.463,67104.022,-0.2908,-0.000358,0.001589,0.001441,-0.273259,-0.337445,0.000176,-0.354553,66.47621,66.476034,66.830763,43.294849,66.813479,-30.279,1386.233,247.482
1763,66507.929,66507.681,66822.608,43313.154,66845.798,66845.547,67101.408,67101.747,67102.478,67101.798,-0.256251,-0.00039,-5.1E-05,0.00068,-0.27919,-0.338117,0.000248,-0.314679,66.507929,66.507681,66.822608,43.313154,66.845798,31.719,1417.952,154.818
1764,66421.313,66421.095,66789.045,43211.121,66758.767,66758.876,67072.09,67073.003,67073.752,67072.135,-0.313259,-4.5E-05,0.000868,0.001617,-0.28309,-0.337672,0.000218,-0.367732,66.421313,66.421095,66.789045,43.211121,66.758767,-86.616,1331.336,-4.59
1765,66503.225,66502.995,66785.91,43316.426,66821.809,66821.572,67075.241,67075.424,67074.772,67074.588,-0.253016,0.000653,0.000836,0.000184,-0.288678,-0.318814,0.00023,-0.282685,66.503225,66.502995,66.78591,43.316426,66.821809,81.912,1413.248,88.266
1766,66549.058,66548.791,66776.803,43421.419,66877.216,66876.787,67074.242,67073.989,67072.8,67073.566,-0.196779,0.000676,0.000423,-0.000766,-0.296763,-0.328425,0.000267,-0.227745,66.549058,66.548791,66.776803,43.421419,66.877216,45.833,1459.081,-50.648
1767,66571.21,66570.942,66742.726,43434.05,66905.378,66905.113,67043.291,67043.603,67042.456,67042.988,-0.137875,0.000303,0.000615,-0.000532,-0.300262,-0.334436,0.000268,-0.171516,66.57121,66.570942,66.742726,43.43405,66.905378,22.152,1481.233,137.488
1768,66316.321,66316.039,66738.136,43232.806,66655.006,66654.859,67045.021,67045.969,67043.139,67044.421,-0.389562,0.0006,0.001548,-0.001282,-0.306285,-0.338967,0.000282,-0.421815,66.316321,66.316039,66.738136,43.232806,66.655006,-254.889,1226.344,-530.24
1769,66157.434,66157.15,66728.978,43085.611,66511.654,66511.32,67044.001,67044.047,67039.359,67043.208,-0.531888,0.000793,0.000839,-0.003849,-0.31423,-0.354504,0.000284,-0.571544,66.157434,66.15715,66.728978,43.085611,66.511654,-158.887,1067.457,-419.564
1770,66121.326,66121.061,66690.216,43148.821,66476.785,66476.279,67012.013,67013.071,67008.781,67011.659,-0.53538,0.000354,0.001412,-0.002878,-0.321443,-0.355724,0.000265,-0.56889,66.121326,66.121061,66.690216,43.148821,66.476785,-36.108,1031.349,-671.997
1771,66317.61,66317.325,66681.071,43272.116,66681.294,66681.031,67012.006,67013.115,67008.346,67011.627,-0.330596,0.000379,0.001488,-0.003281,-0.330556,-0.363969,0.000285,-0.363461,66.31761,66.317325,66.681071,43.272116,66.681294,196.284,1227.633,-233.148
1772,66345.947,66345.664,66668.109,43189.644,66755.577,66755.225,67010.038,67010.817,67005.006,67008.944,-0.253719,0.001094,0.001873,-0.003938,-0.340835,-0.409913,0.000283,-0.322162,66.345947,66.345664,66.668109,43.189644,66.755577,28.337,1255.97,-393.874
1773,66329.645,66329.379,66628.649,43149.583,66705.51,66705.012,66975.057,66976.048,66971.351,66974.004,-0.268992,0.001053,0.002044,-0.002653,-0.345355,-0.376131,0.000266,-0.299004,66.329645,66.329379,66.628649,43.149583,66.70551,-16.302,1239.668,-202.246
1774,66589.758,66589.525,66619.233,43416.055,66929.283,66928.761,66974.081,66974.812,66971.247,66972.738,-0.043977,0.001343,0.002074,-0.001491,-0.353505,-0.339758,0.000233,-0.029475,66.589758,66.589525,66.619233,43.416055,66.929283,260.113,1499.781,125.226
1775,66490.623,66490.433,66606.225,43452.57,66819.327,66818.777,66969.724,66968.262,66965.103,66967.658,-0.148881,0.002066,0.000604,-0.002555,-0.361433,-0.328894,0.00019,-0.115602,66.490623,66.490433,66.606225,43.45257,66.819327,-99.135,1400.646,-78.782
1776,66595.509,66595.334,66566.52,43560.027,66921.366,66920.986,66933.952,66932.905,66930.969,66931.471,-0.010485,0.002481,0.001434,-0.000502,-0.364951,-0.326032,0.000175,0.028989,66.595509,66.595334,66.56652,43.560027,66.921366,104.886,1505.532,183.525
1777,66292.985,66292.796,66560.795,43242.431,66623.07,66622.611,66929.962,66928.492,66929.225,66928.09,-0.305479,0.001872,0.000402,0.001135,-0.367295,-0.330274,0.000189,-0.26781,66.292985,66.292796,66.560795,43.242431,66.62307,-302.524,1203.008,-502.026
1778,66198.443,66198.241,66547.924,43143.153,66529.876,66529.406,66924.694,66923.048,66924.461,66923.504,-0.394098,0.00119,-0.000456,0.000957,-0.37558,-0.331635,0.000202,-0.349481,66.198443,66.198241,66.547924,43.143153,66.529876,-94.542,1108.466,-212.818
